Orthogroup	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	Sp7498_pacbio.protein
OG0000036	wa7733.asm1v1.ann1.run1_003143_1	g331.t1, g19305.t1
OG0000037	wa7733.asm1v1.ann1.run1_004486_1	g416.t1
OG0000037	wa7733.asm1v1.ann1.run1_004488_1	g414.t1
OG0000037	wa7733.asm1v1.ann1.run1_002673_1	g412.t1
OG0000038	wa7733.asm1v1.ann1.run1_012492_1	g13235.t1
OG0000038	wa7733.asm1v1.ann1.run1_000551_1	g11617.t1
OG0000038	wa7733.asm1v1.ann1.run1_003518_1	g4857.t1
OG0000038	wa7733.asm1v1.ann1.run1_001917_1	g16396.t1
OG0000038	wa7733.asm1v1.ann1.run1_000303_1	g15720.t1
OG0000039	wa7733.asm1v1.ann1.run1_003586_1, wa7733.asm1v1.ann1.run1_010786_1, wa7733.asm1v1.ann1.run1_003569_1, wa7733.asm1v1.ann1.run1_014865_1	g2625.t1
OG0000039	wa7733.asm1v1.ann1.run1_014203_1, wa7733.asm1v1.ann1.run1_014204_2, wa7733.asm1v1.ann1.run1_014204_1, wa7733.asm1v1.ann1.run1_003584_1	g2624.t1
OG0000040	wa7733.asm1v1.ann1.run1_011402_1, wa7733.asm1v1.ann1.run1_009148_1, wa7733.asm1v1.ann1.run1_009146_1, wa7733.asm1v1.ann1.run1_009149_1, wa7733.asm1v1.ann1.run1_009147_1, wa7733.asm1v1.ann1.run1_009150_1, wa7733.asm1v1.ann1.run1_009154_1, wa7733.asm1v1.ann1.run1_007183_1, wa7733.asm1v1.ann1.run1_012527_1, wa7733.asm1v1.ann1.run1_009155_1	g2910.t1, g2919.t1
OG0000041	wa7733.asm1v1.ann1.run1_003044_1	g5134.t1
OG0000041	wa7733.asm1v1.ann1.run1_009052_1	g4110.t1
OG0000041	wa7733.asm1v1.ann1.run1_004916_1, wa7733.asm1v1.ann1.run1_001273_1	g9965.t1, g3434.t1
OG0000042	wa7733.asm1v1.ann1.run1_007655_1	g11843.t1
OG0000042	wa7733.asm1v1.ann1.run1_006267_1	g6750.t1, g8825.t1, g1588.t1
OG0000042	wa7733.asm1v1.ann1.run1_007282_1	g9829.t1
OG0000042	wa7733.asm1v1.ann1.run1_003366_1	g10406.t1
OG0000043	wa7733.asm1v1.ann1.run1_011531_1	g14440.t1
OG0000043	wa7733.asm1v1.ann1.run1_011858_2, wa7733.asm1v1.ann1.run1_011858_1, wa7733.asm1v1.ann1.run1_013789_1	g15925.t1, g9193.t1
OG0000043	wa7733.asm1v1.ann1.run1_011532_1, wa7733.asm1v1.ann1.run1_013788_1	g9863.t1
OG0000044	wa7733.asm1v1.ann1.run1_008569_1	g11425.t1
OG0000044	wa7733.asm1v1.ann1.run1_002467_1	g5081.t1
OG0000045	wa7733.asm1v1.ann1.run1_014174_1, wa7733.asm1v1.ann1.run1_014609_1, wa7733.asm1v1.ann1.run1_014709_1	g15665.t1, g15666.t1
OG0000045	wa7733.asm1v1.ann1.run1_009677_1, wa7733.asm1v1.ann1.run1_009676_1, wa7733.asm1v1.ann1.run1_009675_1, wa7733.asm1v1.ann1.run1_013595_1	g11870.t1, g11871.t1
OG0000046	wa7733.asm1v1.ann1.run1_000201_1, wa7733.asm1v1.ann1.run1_000205_1	g12989.t1
OG0000048	wa7733.asm1v1.ann1.run1_015104_1	g12576.t1, g14501.t1, g12578.t1, g12579.t1, g5.t1
