Orthogroup	wa8730.asm201904v2.ann1.proteins	Sp9509_oxford_v3.proteins
OG0000041	Wa8730a009g000990_P001, Wa8730a001g010440_P001	Sp09g00760, Sp01g01540
OG0000042	Wa8730a013g000800_P001	Sp14g00693
OG0000042	Wa8730a005g005460_P001	Sp05g00376, Sp08g00501
OG0000042	Wa8730a010g002090_P001	Sp09g00616
OG0000042	Wa8730a006g006750_P001	Sp04g01424
OG0000043	Wa8730a015g005960_P001	Sp12g00052
OG0000043	Wa8730a015g005010_P001	Sp12g00137
OG0000043	Wa8730a017g000300_P001	Sp09g00650
OG0000044	Wa8730a020g000530_P001	Sp10g00370, Sp04g00354
OG0000044	Wa8730a014g002630_P001, Wa8730a014g002640_P001, Wa8730a014g000580_P001	Sp09g01083
OG0000044	Wa8730a001g008230_P001	Sp12g00420, Sp12g00419, Sp15g00240
OG0000045	Wa8730a011g002680_P001, Wa8730a011g002670_P001	Sp14g00665, Sp14g00663
OG0000046	Wa8730a011g003090_P001, Wa8730a011g003060_P001	Sp11g00465, Sp11g00456, Sp11g00452, Sp11g00470, Sp11g00459, Sp15g00181, Sp11g00450, Sp11g00460, Sp11g00451, Sp11g00458, Sp11g00469, Sp11g00468, Sp15g00179, Sp11g00466, Sp11g00453, Sp11g00464
OG0000047	Wa8730a001g007750_P001	Sp02g00618
OG0000047	Wa8730a015g001520_P001, Wa8730a009g000650_P001, Wa8730a015g001620_P001, Wa8730a010g006310_P001	Sp11g00905
OG0000047	Wa8730a015g001500_P001	Sp09g00357
OG0000047	Wa8730a013g002630_P001	Sp05g01007
OG0000048	Wa8730a013g001160_P001	Sp08g01132
OG0000048	Wa8730a013g000090_P001	Sp13g01005
OG0000049	Wa8730a008g002380_P001, Wa8730a008g002350_P001	Sp08g00828, Sp07g00288, Sp07g00845, Sp07g00317, Sp07g00285
OG0000050	Wa8730a009g000010_P001	Sp10g01099
OG0000050	Wa8730a001g012480_P001	Sp01g01801
OG0000050	Wa8730a017g002540_P001	Sp20g00239
OG0000050	Wa8730a013g005950_P001	Sp14g00027
OG0000050	Wa8730a002g010460_P001	Sp02g00050
OG0000051	Wa8730a001g008950_P001	Sp15g00157
OG0000051	Wa8730a011g001300_P001	Sp11g00271
OG0000051	Wa8730a009g002780_P001	Sp10g00791
OG0000051	Wa8730a011g000990_P001	Sp11g00148, Sp10g00789, Sp20g00545
OG0000052	Wa8730a010g005510_P001, Wa8730a010g005930_P001, Wa8730a010g005490_P001	Sp05g00869, Sp05g00870
OG0000052	Wa8730a010g005480_P001	Sp05g00818
OG0000053	Wa8730a008g004670_P001, Wa8730a008g004660_P001	Sp02g01227, Sp02g01209, Sp02g01226, Sp02g01217, Sp02g01210
OG0000054	Wa8730a010g003370_P001, Wa8730a010g003420_P001, Wa8730a010g003880_P001	Sp07g00178
OG0000054	Wa8730a003g002590_P001	Sp07g00176, Sp07g00174
OG0000055	Wa8730a013g000680_P001	Sp14g00706
OG0000055	Wa8730a016g000290_P001	Sp18g00701
OG0000055	Wa8730a012g002310_P001	Sp07g00590
OG0000055	Wa8730a005g000540_P001	Sp14g00630
OG0000056	Wa8730a006g001100_P001	Sp05g00705
OG0000056	Wa8730a006g001110_P002, Wa8730a006g001110_P001, Wa8730a006g000980_P001, Wa8730a006g001190_P001, Wa8730a006g001200_P001, Wa8730a006g000970_P001, Wa8730a006g001180_P001	Sp16g00578
OG0000057	Wa8730a009g004270_P001, Wa8730a009g004290_P001, Wa8730a009g004260_P001, Wa8730a009g004310_P001	Sp10g00505
OG0000057	Wa8730a006g007010_P001, Wa8730a006g007000_P001, Wa8730a011g000440_P001	Sp12g00576, Sp04g01473
OG0000058	Wa8730a005g008940_P001	Sp06g00375
OG0000058	Wa8730a003g000690_P001	Sp09g00561
OG0000059	Wa8730a015g002590_P001	Sp12g00621
OG0000059	Wa8730a001g011820_P001	Sp01g01707
OG0000059	Wa8730a002g002480_P001	Sp20g00335, Sp14g00575, Sp13g00044
OG0000059	Wa8730a002g008790_P001	Sp20g00336, Sp06g00055, Sp02g00272
OG0000059	Wa8730a001g001320_P001	Sp01g00669
OG0000060	Wa8730a001g007820_P001	Sp15g00054
