Orthogroup	wa8730.asm201904v2.ann1.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func
OG0000007	Wa8730a001g009030_P001	wa7733.asm1v1.ann1.run1_010955_1
OG0000007	Wa8730a004g007210_P001, Wa8730a001g008820_P001	wa7733.asm1v1.ann1.run1_014021_1
OG0000008	Wa8730a016g001020_P001	wa7733.asm1v1.ann1.run1_013174_1
OG0000008	Wa8730a011g001960_P001	wa7733.asm1v1.ann1.run1_009382_1, wa7733.asm1v1.ann1.run1_004297_1, wa7733.asm1v1.ann1.run1_000318_1
OG0000008	Wa8730a019g003480_P001	wa7733.asm1v1.ann1.run1_011231_1
OG0000008	Wa8730a002g010410_P001	wa7733.asm1v1.ann1.run1_007660_1
OG0000008	Wa8730a001g008730_P001	wa7733.asm1v1.ann1.run1_014048_1
OG0000008	Wa8730a008g004930_P001	wa7733.asm1v1.ann1.run1_014073_1
OG0000010	Wa8730a002g009950_P001	wa7733.asm1v1.ann1.run1_011801_1
OG0000010	Wa8730a002g009930_P001	wa7733.asm1v1.ann1.run1_011800_1
OG0000010	Wa8730a008g000350_P001	wa7733.asm1v1.ann1.run1_013662_1
OG0000010	Wa8730a014g005820_P001	wa7733.asm1v1.ann1.run1_001831_1
OG0000010	Wa8730a003g005260_P001	wa7733.asm1v1.ann1.run1_013874_1
OG0000010	Wa8730a003g005060_P001	wa7733.asm1v1.ann1.run1_006693_1
OG0000010	Wa8730a010g000070_P001	wa7733.asm1v1.ann1.run1_011136_1
OG0000010	Wa8730a005g000510_P001	wa7733.asm1v1.ann1.run1_002826_1
OG0000010	Wa8730a016g003000_P001	wa7733.asm1v1.ann1.run1_014356_1
OG0000010	Wa8730a003g006990_P001	wa7733.asm1v1.ann1.run1_006754_1
OG0000010	Wa8730a004g003200_P001	wa7733.asm1v1.ann1.run1_007959_1
OG0000010	Wa8730a010g000520_P001	wa7733.asm1v1.ann1.run1_012084_1
OG0000011	Wa8730a005g002480_P001	wa7733.asm1v1.ann1.run1_002735_1, wa7733.asm1v1.ann1.run1_002734_1
OG0000011	Wa8730a005g002500_P001	wa7733.asm1v1.ann1.run1_015014_1
OG0000011	Wa8730a005g002420_P001	wa7733.asm1v1.ann1.run1_002739_1
OG0000011	Wa8730a005g001800_P001, Wa8730a005g001780_P001	wa7733.asm1v1.ann1.run1_012240_1, wa7733.asm1v1.ann1.run1_012189_1, wa7733.asm1v1.ann1.run1_012192_1
OG0000011	Wa8730a005g001790_P001	wa7733.asm1v1.ann1.run1_012191_1, wa7733.asm1v1.ann1.run1_012190_1
OG0000011	Wa8730a005g001350_P001	wa7733.asm1v1.ann1.run1_012450_1
OG0000011	Wa8730a004g006720_P001	wa7733.asm1v1.ann1.run1_009295_1
OG0000011	Wa8730a004g000730_P001	wa7733.asm1v1.ann1.run1_013769_1
OG0000012	Wa8730a016g001530_P001	wa7733.asm1v1.ann1.run1_015010_1
OG0000012	Wa8730a003g003270_P001	wa7733.asm1v1.ann1.run1_014314_1
OG0000012	Wa8730a003g003300_P001	wa7733.asm1v1.ann1.run1_014311_1
OG0000012	Wa8730a003g003280_P001	wa7733.asm1v1.ann1.run1_014312_1
OG0000012	Wa8730a016g001640_P001	wa7733.asm1v1.ann1.run1_014675_1, wa7733.asm1v1.ann1.run1_014677_1, wa7733.asm1v1.ann1.run1_014935_1
OG0000012	Wa8730a016g001560_P001, Wa8730a016g001540_P001	wa7733.asm1v1.ann1.run1_014676_1
OG0000012	Wa8730a016g001470_P001	wa7733.asm1v1.ann1.run1_015175_1
OG0000012	Wa8730a007g009040_P001	wa7733.asm1v1.ann1.run1_014873_1, wa7733.asm1v1.ann1.run1_004067_1
OG0000012	Wa8730a016g001460_P001	wa7733.asm1v1.ann1.run1_007838_1
OG0000012	Wa8730a016g001480_P001	wa7733.asm1v1.ann1.run1_015153_1
OG0000012	Wa8730a016g001630_P001	wa7733.asm1v1.ann1.run1_014936_1
OG0000013	Wa8730a003g004220_P001	wa7733.asm1v1.ann1.run1_012991_1, wa7733.asm1v1.ann1.run1_012991_2
OG0000013	Wa8730a014g001550_P001	wa7733.asm1v1.ann1.run1_000947_1
OG0000013	Wa8730a007g007700_P001	wa7733.asm1v1.ann1.run1_000586_1
OG0000013	Wa8730a001g010290_P001	wa7733.asm1v1.ann1.run1_001292_1
OG0000013	Wa8730a005g000290_P001	wa7733.asm1v1.ann1.run1_007501_1
OG0000014	Wa8730a005g003480_P001	wa7733.asm1v1.ann1.run1_014916_1
OG0000014	Wa8730a005g003470_P001	wa7733.asm1v1.ann1.run1_013199_1
OG0000014	Wa8730a005g004920_P001	wa7733.asm1v1.ann1.run1_001138_1
OG0000014	Wa8730a005g003460_P001, Wa8730a005g003450_P001	wa7733.asm1v1.ann1.run1_013198_1
OG0000014	Wa8730a005g003440_P001, Wa8730a005g003430_P001	wa7733.asm1v1.ann1.run1_013197_1, wa7733.asm1v1.ann1.run1_013196_1
OG0000014	Wa8730a005g002580_P001	wa7733.asm1v1.ann1.run1_002724_1
OG0000014	Wa8730a005g003410_P001	wa7733.asm1v1.ann1.run1_013195_1
OG0000014	Wa8730a011g003070_P001, Wa8730a011g003080_P001	wa7733.asm1v1.ann1.run1_000202_1, wa7733.asm1v1.ann1.run1_000203_1
OG0000015	Wa8730a014g006880_P001	wa7733.asm1v1.ann1.run1_004219_1
OG0000015	Wa8730a013g004880_P001	wa7733.asm1v1.ann1.run1_000524_1
OG0000015	Wa8730a005g001460_P001	wa7733.asm1v1.ann1.run1_009136_1
OG0000015	Wa8730a004g008220_P001	wa7733.asm1v1.ann1.run1_003152_1
OG0000015	Wa8730a010g000620_P001	wa7733.asm1v1.ann1.run1_004360_1
OG0000015	Wa8730a002g008870_P001	wa7733.asm1v1.ann1.run1_002011_1
OG0000015	Wa8730a007g000880_P001	wa7733.asm1v1.ann1.run1_003916_1
OG0000016	Wa8730a015g003320_P001	wa7733.asm1v1.ann1.run1_003240_1
OG0000016	Wa8730a015g002750_P001	wa7733.asm1v1.ann1.run1_006345_1
OG0000016	Wa8730a016g000410_P001	wa7733.asm1v1.ann1.run1_003953_1, wa7733.asm1v1.ann1.run1_003954_1
OG0000016	Wa8730a015g003530_P001	wa7733.asm1v1.ann1.run1_003233_1, wa7733.asm1v1.ann1.run1_003214_1
